Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,SiteID,Site name,Anthropogenic_C14,Uncal.C14Age,C14SD,C14LabCode,Cal.BP_oldest,Cal.BP_median,Cal.BP_youngest,Early Mesolithic,Middle Mesolithic,Late Mesolithic,Early Neolithic,Middle Neolithic (A),Middle Neolithic (B),Late Neolithic,Site size (m2),Elevation (Max),Elevation (Mean),Elevation (Median),Elevation (Min),Elevation (stdev),Conventional date,Conventional date based on Cal.BP (median),X (UTM32N),Y (UTM32N),Site_ID,Reference
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162672,B14604,Open air,S399,17 Havnen,Y,6355,65,Beta-57828 ETH-9967,7423,7281,7163,0,0,1,0,0,0,0,300,10.7,7.7,7.4,5.7,1.5,Late Mesolithic,N/A,301525.563,6866196.212,301525.5636866196.212,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,112869,N/A,Open air,S984,Lokalitet 1,Y,5790,30,Beta-369254,6664,6592,6497,0,0,1,0,0,0,0,340,13.1,11.5,11.6,9.6,0.8,Late Mesolithic,Late Mesolithic,363495.38,6926312.871,363495.386926312.871,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,174995,N/A,Open air,S1013,Sotrasambandet lok 7 Arefjordpollen,Y,3900,30,Beta-477306,4417,4336,4243,0,0,0,0,0,0,1,53.8,16.1,16,16.1,16,0.1,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,286880.2948,6698483.696,286880.29486698483.696,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/174995-1
Fjords,Hordaland,Bjørnafjorden,4624,N/A,N/A,N/A,90345,N/A,Rock shelter,S1028,Holmefjord skjeletfunn / Holmefjordheller,Y,3650,50,T-6017,4094,3973,3840,0,0,0,0,0,0,1,N/A,50.1,47.7,46.9,44.5,1.8,Late Neolithic/Early Bronze Age,Late Neolithic,315743.8043,6688090.681,315743.80436688090.681,
Outer coast,Hordaland,Alver,4631,N/A,464,86,172350,B17989,Open air,S348,Snekkevika Lok 1,Y,4660,90,T-7641,5589,5392,5261,0,0,0,0,1,0,0,78,13.2,12.1,12.1,7.9,2.5,Early/Middle Neolithic,Early/Middle Neolithic,285773.1117,6731748.197,285773.11176731748.197,
Mainland,Hordaland,Sveio,4612,N/A,N/A,N/A,172763,N/A,Open air,S1024,Nyland-lok 1-Dyrkingslag,Y,6270,30,Beta-366879,7267,7212,7156,0,0,1,0,0,0,0,18,59.2,58.8,56.2,55.9,2.2,Late Mesolithic,Late Mesolithic,293577.6643,6611058.919,293577.66436611058.919,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,140583,N/A,Open air,S1023,Hylkjeneset lok 17,Y,7060,40,Beta-286532,7969,7888,7824,0,0,1,0,0,0,0,24,38.4,37.7,37.7,36,1.1,Late Mesolithic,Late Mesolithic,300677.7435,6713393.834,300677.74356713393.834,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,174995,N/A,Open air,S1013,Sotrasambandet lok 7 Arefjordpollen,Y,3780,30,Beta-477307,4246,4152,4081,0,0,0,0,0,0,1,53.8,16.1,16,16.1,16,0.1,Late Neolithic/Early Bronze Age,Late Neolithic,286880.2948,6698483.696,286880.29486698483.696,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/174995-1
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,140596,N/A,Open air,S370,Hylkjeneset lok 18,Y,4900,40,Beta-286537,5727,5634,5582,0,0,0,1,0,0,0,83,36.9,36.3,36.7,35.7,0.5,Early/Middle Neolithic,Early/Middle Neolithic,300820.9635,6713234.113,300820.96356713234.113,
Fjords,Hordaland,Alver,4631,Isdal,185,277. 279,97667,B13062,Open air,S363,Isdal - Lok. 2. Hagelsund,Y,4600,130,T-3070,5585,5278,4959,0,0,0,0,1,0,0,26,14.3,14,12.8,11,1.7,Early/Middle Neolithic,Early/Middle Neolithic,295751.3744,6717771.714,295751.37446717771.714,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,114560,N/A,Open air,S890,Glesnes - Lok. 5. Kvernavika,Y,4885,120,T-19501,5902,5629,5444,0,0,0,0,0,0,0,N/A,17.8,15.3,15.5,12.8,1.5,Early/Middle Neolithic,Early/Middle Neolithic,281215.3847,6681938.287,281215.38476681938.287,
Mainland,Hordaland,Etne,4611,N/A,N/A,N/A,162680,N/A,Open air,S1001,Etne-Sauda lok 5,Y,3330,30,Beta-359063,3636,3538,3466,0,0,0,0,0,0,1,127,62.1,61,61,59.9,1.1,Late Neolithic/Early Bronze Age,N/A,340266.626,6624551.377,340266.6266624551.377,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,45786,B14892,Open air,S395,55 Hunskår,Y,4950,110,Beta-48257,5929,5700,5470,0,0,0,1,0,0,0,3300,9.8,7.9,7.9,4.8,0.9,Early/Middle Neolithic,N/A,301066.8822,6865546.748,301066.88226865546.748,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,159003,N/A,Open air,S921,Bavallsvegen. Lokalitet 1,Y,3600,40,Beta-279963,3991,3907,3826,0,0,0,0,0,0,1,10860,161.2,155.1,155.1,147.5,3.1,Late Neolithic/Early Bronze Age,Late Neolithic,359370.0265,6726312.357,359370.02656726312.357,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,159003,N/A,Open air,S921,Bavallsvegen. Lokalitet 1,Y,3690,40,Beta-279967,4101,4030,3903,0,0,0,0,0,0,1,10860,161.2,155.1,155.1,147.5,3.1,Late Neolithic/Early Bronze Age,Late Neolithic,359370.0265,6726312.357,359370.02656726312.357,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95765,N/A,Open air,S992,Ågotnes - Lok. 9 (Det Norske Veritas),Y,5870,130,T-5815,7005,6691,6395,0,0,1,0,0,0,0,150,21.1,20.8,20.8,20,0.3,Late Mesolithic,Late Mesolithic,279966.2831,6704093.375,279966.28316704093.375,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,159003,N/A,Open air,S921,Bavallsvegen. Lokalitet 1,Y,3290,40,Beta-279958,3590,3509,3442,0,0,0,0,0,0,1,10860,161.2,155.1,155.1,147.5,3.1,Late Neolithic/Early Bronze Age,N/A,359370.0265,6726312.357,359370.02656726312.357,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,146851,B15677,Open air,S463,Hjellvik lok. 1,Y,6920,20,Beta-123829,7793,7737,7681,0,0,1,0,0,0,0,290,11.4,9,7.8,7.3,1.8,Late Mesolithic,Late Mesolithic,338756.3565,6905434.741,338756.35656905434.741,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,114561,N/A,Open air,S991,Glesnes - Lok. 6. Kvernavika,Y,3750,75,T-19500,4301,4116,3901,0,0,0,0,0,0,1,300,12.6,12.1,12.1,11.6,0.5,Late Neolithic/Early Bronze Age,Late Neolithic,281277.9055,6681889.442,281277.90556681889.442,
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,97666,N/A,Open air,S993,Isdal - Lok. 1. Hagelsund,Y,3540,70,T-3069,3991,3825,3636,0,0,0,0,0,0,1,N/A,14.2,11.3,11.1,10.6,1.5,Late Neolithic/Early Bronze Age,Late Neolithic,295838.5957,6717802.828,295838.59576717802.828,
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,97666,N/A,Open air,S993,Isdal - Lok. 1. Hagelsund,Y,5860,140,T-3068,7005,6680,6391,0,0,1,0,0,0,0,N/A,14.2,11.3,11.1,10.6,1.5,Late Mesolithic,Late Mesolithic,295838.5957,6717802.828,295838.59576717802.828,
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,97667,N/A,Open air,S994,Isdal - Lok. 2. Hagelsund,Y,3390,70,T-3071,3779,3630,3463,0,0,0,0,0,0,1,N/A,14.3,14,12.8,11,1.7,Late Neolithic/Early Bronze Age,N/A,295751.3744,6717771.714,295751.37446717771.714,
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,N/A,B14189,Open air,S1908,Snekkevik lok. 1,Y,6920,90,T-8069,7935,7760,7605,0,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,Late Mesolithic,Late Mesolithic,278964,6741690,2.78965E+12,https://www.unimus.no/felles/arkeologi/index_katalog.php?museum=um&museumsnr=B14189
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,N/A,B14189,Open air,S1908,Snekkevik lok. 1,Y,5780,120,T-7640,6805,6584,6309,0,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,Late Mesolithic,Late Mesolithic,278964,6741690,2.78965E+12,https://www.unimus.no/felles/arkeologi/index_katalog.php?museum=um&museumsnr=B14189
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,231135,N/A,Open air,S1025,Steinalderlokalitet Garnesvegen,Y,4980,30,Beta-477513,5753,5693,5601,0,0,0,1,0,0,0,713,13.1,12.5,12.5,11.9,0.4,Early/Middle Neolithic,Early/Middle Neolithic,305901.4993,6706210.268,305901.49936706210.268,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,146795,B16924,Open air,S280,Lok 1 Storehaugen,Y,6090,40,Beta-313462,7030,6954,6845,0,0,1,0,0,0,0,375,8.7,8,8,7.5,0.5,Late Mesolithic,Late Mesolithic,321017.4672,6902601.291,321017.46726902601.291,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,148753,B16930,Open air,S279,Lok 7 Storehaugen,Y,6110,40,Beta-313465,7159,6984,6884,0,0,1,0,0,0,0,877,9.1,8.5,8.4,8.3,0.3,Late Mesolithic,Late Mesolithic,321144.9105,6902539.973,321144.91056902539.973,
Fjords,Hordaland,Bjørnafjorden,4624,Samnøy,111,1,90340,B15424,Rock shelter,S298,Samnøy - Øvste Dåvatræhelleren,Y,6920,70,Beta-103191,7870,7756,7655,0,0,1,0,0,0,0,7,26.7,25.1,23.8,23.3,1.5,Late Mesolithic,Late Mesolithic,313674.1826,6684763.168,313674.18266684763.168,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,273019,N/A,Open air,S831,Kvasnes. Lok. 9,Y,4090,30,Beta-577912,4652,4592,4517,0,0,0,0,0,0,1,420,N/A,N/A,N/A,N/A,N/A,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,363628.8625,6924759.081,363628.86256924759.081,
