Year ka BP,Value,Variable
11400,-1.48,AMT [Celsius]
11300,-0.22,AMT [Celsius]
11200,-0.55,AMT [Celsius]
11100,-0.65,AMT [Celsius]
11000,-0.40,AMT [Celsius]
10900,-0.70,AMT [Celsius]
10800,-0.79,AMT [Celsius]
10700,-1.21,AMT [Celsius]
10600,-1.02,AMT [Celsius]
10500,-0.43,AMT [Celsius]
10400,-1.21,AMT [Celsius]
10300,-1.56,AMT [Celsius]
10200,-0.32,AMT [Celsius]
10100,-0.89,AMT [Celsius]
10000,-0.71,AMT [Celsius]
9900,0.65,AMT [Celsius]
9800,0.78,AMT [Celsius]
9700,0.06,AMT [Celsius]
9600,0.62,AMT [Celsius]
9500,0.91,AMT [Celsius]
9400,0.83,AMT [Celsius]
9300,0.79,AMT [Celsius]
9200,1.85,AMT [Celsius]
9100,0.64,AMT [Celsius]
9000,0.64,AMT [Celsius]
8900,0.25,AMT [Celsius]
8800,0.86,AMT [Celsius]
8700,0.01,AMT [Celsius]
8600,0.49,AMT [Celsius]
8500,0.44,AMT [Celsius]
8400,0.59,AMT [Celsius]
8300,0.63,AMT [Celsius]
8200,0.34,AMT [Celsius]
8100,0.23,AMT [Celsius]
8000,1.16,AMT [Celsius]
7900,2.18,AMT [Celsius]
7800,1.61,AMT [Celsius]
7700,2.50,AMT [Celsius]
7600,2.68,AMT [Celsius]
7500,2.42,AMT [Celsius]
7400,2.07,AMT [Celsius]
7300,1.77,AMT [Celsius]
7200,2.55,AMT [Celsius]
7100,2.99,AMT [Celsius]
7000,2.58,AMT [Celsius]
6900,2.50,AMT [Celsius]
6800,2.60,AMT [Celsius]
6700,3.67,AMT [Celsius]
6600,3.41,AMT [Celsius]
6500,3.86,AMT [Celsius]
6400,3.17,AMT [Celsius]
6300,2.76,AMT [Celsius]
6200,2.69,AMT [Celsius]
6100,3.46,AMT [Celsius]
6000,4.98,AMT [Celsius]
5900,4.95,AMT [Celsius]
5800,4.15,AMT [Celsius]
5700,3.73,AMT [Celsius]
5600,3.85,AMT [Celsius]
5500,3.17,AMT [Celsius]
5400,3.30,AMT [Celsius]
5300,3.76,AMT [Celsius]
5200,2.91,AMT [Celsius]
5100,3.52,AMT [Celsius]
5000,3.98,AMT [Celsius]
4900,3.91,AMT [Celsius]
4800,4.05,AMT [Celsius]
4700,4.97,AMT [Celsius]
4600,4.53,AMT [Celsius]
4500,3.95,AMT [Celsius]
4400,3.80,AMT [Celsius]
4300,3.36,AMT [Celsius]
11400,35.12,Precip. Season
11300,33.35,Precip. Season
11200,34.28,Precip. Season
11100,33.46,Precip. Season
11000,33.35,Precip. Season
10900,34.04,Precip. Season
10800,32.84,Precip. Season
10700,32.12,Precip. Season
10600,34.12,Precip. Season
10500,33.97,Precip. Season
10400,33.68,Precip. Season
10300,33.41,Precip. Season
10200,33.87,Precip. Season
10100,32.89,Precip. Season
10000,33.22,Precip. Season
9900,34.81,Precip. Season
9800,34.22,Precip. Season
