Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,Site name,m2,Conventional date,X (UTM32N),Y (UTM32N),M.a.s.l (Geom_Max),M.a.s.l (Geom_Mean),M.a.s.l (Geom_Median),M.a.s.l (Geom_Min),M.a.s.l (Geom_Stdev),M.a.s.l (Single point),Reference
Mainland,Hordaland,Bjørnafjorden,4624,Samnøy,111,1,90340,B15424,Rock shelter,Samnøy - Øvste Dåvatræhelleren,7,Early Mesolithic,313674.1826,6684763.168,26.7177887,25.08857402,23.78249168,23.34714699,1.538293119,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/90340-1
Mainland,Hordaland,Bømlo,4613,Røyksund,27,23,96329,N/A,Open air,Røyksund - Lok. 1 (1998). Purkehola,100,Early Mesolithic,294600.0284,6627733.88,9.69230938,9.573219299,9.573219299,9.454129219,0.11909008,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96329-1
Outer coast,Hordaland,Øygarden,4626,Blom,240,115,94819,B15999,Open air,Blom - Lok. 12. Kollsnes næringspark,25,Early Mesolithic,274176.2605,6719567.734,17.50202179,16.8590517,16.8590517,16.21608162,0.642970085,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94819-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94837,B14617,Open air,Breivik - Lok. 5. Revarvika,150,Early Mesolithic,271423,6720768,17.15825844,12.73400204,12.38054943,12.28855991,1.277629229,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94837-1
Fjords,Hordaland,Sveio,4612,Tjernagel,50,22/26,106208,B13681,Open air,"Tjernagel - Lok. 32, Snørhaug",17,Early Mesolithic,292591.5888,6614870.488,25.11042404,25.02895271,25.04427814,24.97011948,0.058415002,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106208-1
Mainland,Hordaland,Stord,4614,Digernes,52,1,108633,B15205,Open air,Hillersvika lok. 43,85,Early Mesolithic,298073,6629428,21.64187813,21.52659893,21.52659893,21.41131973,0.115279198,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108633-1
Outer coast,Hordaland,Øygarden,4626,Dale,242,76,94879,B17913,Open air,Dale - Lok. 25. Kollsnes næringspark,20,Early Mesolithic,273907.9139,6720063.323,18.65117073,17.15376223,18.17329788,12.35425091,1.857090244,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94879-1
Outer coast,Hordaland,Øygarden,4626,Blom,240,113,94828,B15573,Open air,Blom - Lok. 29. Kollsnes næringspark,9,Early Mesolithic,274023.7043,6720207.243,15.41882133,13.56268203,13.60075426,11.7459116,1.011771548,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94828-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94842,B14625,Open air,Breivik - Lok. 14. Budalen,20,Early Mesolithic,272219.7692,6719827.499,13.422616,12.16222355,12.95883465,11.52000618,0.937304919,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94842-1
Outer coast,Hordaland,Bømlo,4613,Gisøysund,153,24-Apr,94605,B14398,Open air,Gisøysund - Gisøy II,79.41,Early Mesolithic,281270.3736,6646198.078,33.19127655,27.02043639,28.83990383,22.03349495,4.436659477,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94605-1
Outer coast,Hordaland,Bømlo,4613,Gisøysund,153,24-Apr,94605,B14398,Open air,Gisøysund - Gisøy II,25,Early Mesolithic,281270.3736,6646198.078,33.19127655,27.02043639,28.83990383,22.03349495,4.436659477,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94605-1
Mainland,Hordaland,Bergen,4601,Hjellestad Søndre (Fana),105,3,116665,B16797,Open air,Lokaliet 5/6 Hjellestad,200,Early Mesolithic,291991.4038,6684834.324,27.09389305,26.70549631,26.60570431,26.51668358,0.230829691,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/116665-1
Outer coast,Hordaland,Øygarden,4626,Hellesund,209,1,95569,B15525,Open air,Hellesund - Lok. 2. Lammestokkbråtane,194.28,Early Mesolithic,270945.5648,6732949.407,16.36276627,15.76922655,15.76922655,15.17568684,0.593539715,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95569-1
Outer coast,Hordaland,Alver,4631,Mongstad,127,112,97659,B161110,Open air,Mongstad - Lok. 1. Grunneviki,35,Early Mesolithic,285458.8762,6747331.519,4.671448231,4.624586582,4.624220848,4.578456402,0.033391024,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/97659-1
